temperature_bound,top_p_bound,metric,cell_count,model_count,equal_cell_mean,worst_setting,best_setting
0.2,0.8,top1,2,69,0.7681159420289855,0.6231884057971014,0.9130434782608695
0.2,0.8,mrr,2,69,0.819388147759532,0.698585568371815,0.9401907271472488
0.2,0.9,top1,3,69,0.6714975845410628,0.5652173913043478,0.8405797101449275
0.2,0.9,mrr,3,69,0.7572720981688367,0.6808204400469097,0.9006580893226857
0.2,1.0,top1,4,69,0.6557971014492754,0.5507246376811594,0.855072463768116
0.2,1.0,mrr,4,69,0.7404864635120207,0.6518892701501398,0.907608695652174
0.3,0.8,top1,3,69,0.7053140096618357,0.5942028985507246,0.8840579710144928
0.3,0.8,mrr,3,69,0.7807093525922418,0.6976796955057825,0.9347826086956522
0.3,0.9,top1,5,69,0.6608695652173914,0.5507246376811594,0.7971014492753623
0.3,0.9,mrr,5,69,0.7449986237765831,0.6484892956223051,0.8674608402869273
0.3,1.0,top1,7,69,0.6169772256728778,0.34782608695652173,0.782608695652174
0.3,1.0,mrr,7,69,0.7026568586616093,0.4678687190293466,0.845865487169835
0.5,0.8,top1,4,69,0.6268115942028986,0.391304347826087,0.855072463768116
0.5,0.8,mrr,4,69,0.7029009375815571,0.48052393059261367,0.9135265700483093
0.5,0.9,top1,7,69,0.6045548654244307,0.4057971014492754,0.8115942028985508
0.5,0.9,mrr,7,69,0.6918990816649283,0.513272479062733,0.865855762594893
0.5,1.0,top1,10,69,0.563768115942029,0.3333333333333333,0.782608695652174
0.5,1.0,mrr,10,69,0.6547455795394996,0.43206217396103364,0.8434010192705845
0.7,0.8,top1,5,69,0.47536231884057967,0.11594202898550725,0.7971014492753623
0.7,0.8,mrr,5,69,0.5733302453326063,0.22281924493242508,0.873447204968944
0.7,0.9,top1,9,69,0.5024154589371981,0.17391304347826086,0.7391304347826086
0.7,0.9,mrr,9,69,0.592273079460661,0.26641350757878646,0.8236131018739714
0.7,1.0,top1,13,69,0.4648829431438127,0.14492753623188406,0.7536231884057971
0.7,1.0,mrr,13,69,0.5569466095145638,0.2436053398748157,0.8218442647151087
