comparison,temperature,top_p,model_count,top1,top3,top5,mrr
fixed_t0_gallery,0.0,1.0,69,0.927536231884058,0.9710144927536232,0.9855072463768116,0.9512458682939233
same_setting_repeat,0.0,1.0,69,0.927536231884058,0.9710144927536232,0.9855072463768116,0.9512458682939233
fixed_t0_gallery,0.2,0.8,69,0.4927536231884058,0.6086956521739131,0.7101449275362319,0.5877431653933151
same_setting_repeat,0.2,0.8,69,0.42028985507246375,0.5507246376811594,0.6376811594202898,0.5235947971742235
fixed_t0_gallery,0.2,0.9,69,0.4492753623188406,0.5942028985507246,0.6666666666666666,0.5461394325396153
same_setting_repeat,0.2,0.9,69,0.4927536231884058,0.5942028985507246,0.6666666666666666,0.5770665201010912
fixed_t0_gallery,0.2,1.0,69,0.43478260869565216,0.5507246376811594,0.6666666666666666,0.5307751635256935
same_setting_repeat,0.2,1.0,69,0.42028985507246375,0.5362318840579711,0.5652173913043478,0.49400155738383944
fixed_t0_gallery,0.3,0.8,69,0.4057971014492754,0.5652173913043478,0.6086956521739131,0.520746944906789
same_setting_repeat,0.3,0.8,69,0.5507246376811594,0.6521739130434783,0.6956521739130435,0.6240471779057749
fixed_t0_gallery,0.3,0.9,69,0.37681159420289856,0.5072463768115942,0.5217391304347826,0.4669424293966579
same_setting_repeat,0.3,0.9,69,0.6231884057971014,0.6811594202898551,0.7101449275362319,0.6718816556902949
fixed_t0_gallery,0.3,1.0,69,0.30434782608695654,0.4057971014492754,0.4782608695652174,0.4019135452970243
same_setting_repeat,0.3,1.0,69,0.2608695652173913,0.36231884057971014,0.42028985507246375,0.34896728440461655
fixed_t0_gallery,0.5,0.8,69,0.18840579710144928,0.3333333333333333,0.391304347826087,0.289641002988822
same_setting_repeat,0.5,0.8,69,0.30434782608695654,0.391304347826087,0.43478260869565216,0.37529833247976063
fixed_t0_gallery,0.5,0.9,69,0.2463768115942029,0.43478260869565216,0.463768115942029,0.36164720396460653
same_setting_repeat,0.5,0.9,69,0.43478260869565216,0.5217391304347826,0.5362318840579711,0.4972233439360423
fixed_t0_gallery,0.5,1.0,69,0.18840579710144928,0.2608695652173913,0.3188405797101449,0.26773618635395807
same_setting_repeat,0.5,1.0,69,0.2898550724637681,0.34782608695652173,0.37681159420289856,0.35934340837425177
fixed_t0_gallery,0.7,0.8,69,0.08695652173913043,0.2608695652173913,0.3188405797101449,0.19653896301442775
same_setting_repeat,0.7,0.8,69,0.17391304347826086,0.2318840579710145,0.2463768115942029,0.23725901948837153
fixed_t0_gallery,0.7,0.9,69,0.10144927536231885,0.18840579710144928,0.2463768115942029,0.1867680318622879
same_setting_repeat,0.7,0.9,69,0.057971014492753624,0.14492753623188406,0.14492753623188406,0.1346847228322501
fixed_t0_gallery,0.7,1.0,69,0.07246376811594203,0.13043478260869565,0.14492753623188406,0.1413860377697781
same_setting_repeat,0.7,1.0,69,0.07246376811594203,0.11594202898550725,0.2028985507246377,0.15023601759501812
